time_min,dex_price,supply,oracle_price,regime,bad_debt_cumulative,usdc_pool,allocator_inflow,arb_borrow
0.0000000000,1.0000000000,102000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.2000000000,1.0000000000,102000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.4000000000,1.0000000000,152000000.0000000000,1.1300000000,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.6000000000,0.9900000000,152000000.0000000000,1.1298444296,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.8000000000,0.9800000000,152000000.0000000000,1.1295354305,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.0000000000,0.9700000000,152000000.0000000000,1.1290751150,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.2000000000,0.9600000000,152000000.0000000000,1.1284655664,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.4000000000,0.9500000000,152000000.0000000000,1.1277088392,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.6000000000,0.9400000000,152000000.0000000000,1.1268069597,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.8000000000,0.9300000000,152000000.0000000000,1.1257619261,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.0000000000,0.9200000000,152000000.0000000000,1.1245757094,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.2000000000,0.9100000000,152000000.0000000000,1.1232502533,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.4000000000,0.9000000000,152000000.0000000000,1.1161349917,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.6000000000,0.8976282918,152000000.0000000000,1.1093167442,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.8000000000,0.8932917961,152000000.0000000000,1.1026269400,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.0000000000,0.8876762425,152000000.0000000000,1.0959601877,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.2000000000,0.8810263340,152000000.0000000000,1.0892366713,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.4000000000,0.8734834957,152000000.0000000000,1.0823926215,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.6000000000,0.8651431499,152000000.0000000000,1.0753757606,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.8000000000,0.8560753486,152000000.0000000000,1.0681426127,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.0000000000,0.8463343685,152000000.0000000000,1.0606567207,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.2000000000,0.8359638774,152000000.0000000000,1.0528873732,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.4000000000,0.8250000000,152000000.0000000000,1.0448086492,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.6000000000,0.8134732700,152000000.0000000000,1.0363986742,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.8000000000,0.8014099396,152000000.0000000000,1.0276390250,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.0000000000,0.7888328961,152000000.0000000000,1.0185142442,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.2000000000,0.7757623246,152000000.0000000000,1.0090114370,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.4000000000,0.7622162020,152000000.0000000000,0.9991199325,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.6000000000,0.7482106723,152000000.0000000000,0.9888309959,1.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.8000000000,0.7337603387,152000000.0000000000,0.9781375826,1.0000000000,2204.0724878874,3000000.0000000000,0.0000000000,0.0000000000
6.0000000000,0.7188784938,152000000.0000000000,0.9670341255,1.0000000000,2204.0724878874,3000000.0000000000,0.0000000000,0.0000000000
6.2000000000,0.7035773053,152000000.0000000000,0.9555163511,1.0000000000,3961.7672308904,3000000.0000000000,0.0000000000,0.0000000000
6.4000000000,0.6878679656,152000000.0000000000,0.9435811192,1.0000000000,24197.0233430954,3000000.0000000000,0.0000000000,0.0000000000
6.6000000000,0.6717608162,152000000.0000000000,0.9312262823,1.0000000000,24197.0233430954,3000000.0000000000,0.0000000000,0.0000000000
6.8000000000,0.6552654499,152000000.0000000000,0.9184505626,1.0000000000,24197.0233430954,3000000.0000000000,0.0000000000,0.0000000000
7.0000000000,0.6383907972,152000000.0000000000,0.9052534437,1.0000000000,86401.8274973546,3000000.0000000000,0.0000000000,0.0000000000
7.2000000000,0.6211451991,152000000.0000000000,0.8916350752,1.0000000000,104571.7528016124,3000000.0000000000,0.0000000000,0.0000000000
7.4000000000,0.6035364694,152000000.0000000000,0.8775961875,1.0000000000,132622.9426594382,3000000.0000000000,0.0000000000,0.0000000000
7.6000000000,0.5855719478,152000000.0000000000,0.8631380180,1.0000000000,132622.9426594382,3000000.0000000000,0.0000000000,0.0000000000
7.8000000000,0.5672585463,152000000.0000000000,0.8482622440,1.0000000000,193298.6559155832,3000000.0000000000,0.0000000000,0.0000000000
8.0000000000,0.5486027889,152000000.0000000000,0.8329709241,1.0000000000,232873.5104615176,3000000.0000000000,0.0000000000,0.0000000000
8.2000000000,0.5296108465,152000000.0000000000,0.8172664462,1.0000000000,538924.1116375853,3000000.0000000000,0.0000000000,0.0000000000
