time_min,dex_price,supply,oracle_price,regime,bad_debt_cumulative,usdc_pool,allocator_inflow,arb_borrow
0.0000000000,1.0000000000,102000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.2000000000,1.0000000000,102000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.4000000000,1.0000000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.6000000000,0.9900000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
0.8000000000,0.9800000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.0000000000,0.9700000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.2000000000,0.9600000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.4000000000,0.9500000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.6000000000,0.9400000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
1.8000000000,0.9300000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.0000000000,0.9200000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.2000000000,0.9100000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.4000000000,0.9000000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.6000000000,0.8976282918,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
2.8000000000,0.8932917961,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.0000000000,0.8876762425,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.2000000000,0.8810263340,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.4000000000,0.8734834957,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.6000000000,0.8651431499,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
3.8000000000,0.8560753486,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.0000000000,0.8463343685,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.2000000000,0.8359638774,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.4000000000,0.8250000000,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.6000000000,0.8134732700,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
4.8000000000,0.8014099396,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.0000000000,0.7888328961,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.2000000000,0.7757623246,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.4000000000,0.7622162020,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.6000000000,0.7482106723,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
5.8000000000,0.7337603387,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
6.0000000000,0.7188784938,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
6.2000000000,0.7035773053,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
6.4000000000,0.6878679656,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
6.6000000000,0.6717608162,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
6.8000000000,0.6552654499,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
7.0000000000,0.6383907972,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
7.2000000000,0.6211451991,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
7.4000000000,0.6035364694,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
7.6000000000,0.5855719478,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
7.8000000000,0.5672585463,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
8.0000000000,0.5486027889,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
8.2000000000,0.5296108465,152000000.0000000000,1.1300000000,0.0000000000,0.0000000000,3000000.0000000000,0.0000000000,0.0000000000
